episode,reward
0,37.0
1,22.0
2,18.0
3,20.0
4,11.0
5,15.0
6,15.0
7,49.0
8,51.0
9,17.0
10,23.0
11,28.0
12,27.0
13,13.0
14,43.0
15,19.0
16,17.0
17,35.0
18,19.0
19,58.0
20,14.0
21,13.0
22,20.0
23,15.0
24,19.0
25,15.0
26,17.0
27,23.0
28,16.0
29,92.0
30,20.0
31,9.0
32,14.0
33,21.0
34,25.0
35,18.0
36,13.0
37,15.0
38,39.0
39,36.0
40,16.0
41,18.0
42,53.0
43,18.0
44,25.0
45,18.0
46,19.0
47,13.0
48,39.0
49,38.0
50,18.0
51,21.0
52,52.0
53,38.0
54,17.0
55,32.0
56,52.0
57,25.0
58,18.0
59,29.0
60,33.0
61,13.0
62,9.0
63,19.0
64,43.0
65,22.0
66,14.0
67,15.0
68,16.0
69,12.0
70,11.0
71,23.0
72,12.0
73,39.0
74,29.0
75,11.0
76,32.0
77,15.0
78,14.0
79,26.0
80,41.0
81,14.0
82,15.0
83,16.0
84,17.0
85,20.0
86,29.0
87,32.0
88,26.0
89,13.0
90,22.0
91,14.0
92,16.0
93,12.0
94,13.0
95,14.0
96,18.0
97,23.0
98,15.0
99,29.0
100,28.0
101,17.0
102,17.0
103,30.0
104,14.0
105,36.0
106,16.0
107,20.0
108,19.0
109,25.0
110,13.0
111,19.0
112,17.0
113,50.0
114,21.0
115,19.0
116,12.0
117,18.0
118,27.0
119,35.0
120,25.0
121,22.0
122,20.0
123,37.0
124,42.0
125,32.0
126,51.0
127,54.0
128,12.0
129,12.0
130,14.0
131,18.0
132,13.0
133,26.0
134,18.0
135,44.0
136,10.0
137,14.0
138,40.0
139,10.0
140,22.0
141,22.0
142,30.0
143,55.0
144,14.0
145,32.0
146,23.0
147,10.0
148,15.0
149,17.0
150,18.0
151,19.0
152,14.0
153,17.0
154,41.0
155,19.0
156,27.0
157,32.0
158,25.0
159,18.0
160,23.0
161,16.0
162,14.0
163,20.0
164,29.0
165,19.0
166,48.0
167,16.0
168,21.0
169,26.0
170,37.0
171,36.0
172,15.0
173,37.0
174,24.0
175,15.0
176,20.0
177,20.0
178,24.0
179,28.0
180,23.0
181,22.0
182,16.0
183,12.0
184,20.0
185,31.0
186,26.0
187,24.0
188,64.0
189,10.0
190,26.0
191,33.0
192,10.0
193,25.0
194,36.0
195,22.0
196,28.0
197,13.0
198,35.0
199,17.0
200,42.0
201,10.0
202,22.0
203,11.0
204,31.0
205,18.0
206,31.0
207,27.0
208,21.0
209,16.0
210,12.0
211,16.0
212,16.0
213,14.0
214,18.0
215,17.0
216,15.0
217,12.0
218,23.0
219,31.0
220,12.0
221,33.0
222,18.0
223,20.0
224,23.0
225,11.0
226,21.0
227,13.0
228,17.0
229,13.0
230,15.0
231,15.0
232,13.0
233,13.0
234,12.0
235,35.0
236,10.0
237,13.0
238,14.0
239,26.0
240,48.0
241,64.0
242,14.0
243,30.0
244,14.0
245,17.0
246,40.0
247,36.0
248,19.0
249,27.0
250,14.0
251,14.0
252,15.0
253,31.0
254,37.0
255,23.0
256,17.0
257,44.0
258,15.0
259,16.0
260,24.0
261,28.0
262,26.0
263,17.0
264,12.0
265,10.0
266,10.0
267,14.0
268,20.0
269,9.0
270,13.0
271,17.0
272,15.0
273,16.0
274,31.0
275,11.0
276,20.0
277,25.0
278,50.0
279,11.0
280,15.0
281,22.0
282,26.0
