05-21 12:40:08: Training starting...
05-21 12:40:08: New best reward 37.0 (-100.0%) at episode 0, saving model...
05-21 12:40:08: New best reward 49.0 (+32.4%) at episode 7, saving model...
05-21 12:40:08: New best reward 51.0 (+4.1%) at episode 8, saving model...
05-21 12:40:08: New best reward 58.0 (+13.7%) at episode 19, saving model...
05-21 12:40:08: New best reward 92.0 (+58.6%) at episode 29, saving model...
05-21 12:40:09: New best reward 94.0 (+2.2%) at episode 605, saving model...
05-21 12:40:09: New best reward 125.0 (+33.0%) at episode 632, saving model...
05-21 12:40:09: New best reward 148.0 (+18.4%) at episode 794, saving model...
05-21 12:40:10: New best reward 152.0 (+2.7%) at episode 1395, saving model...
05-21 12:40:10: New best reward 157.0 (+3.3%) at episode 1560, saving model...
05-21 12:40:10: New best reward 169.0 (+7.6%) at episode 1566, saving model...
05-21 12:40:11: New best reward 189.0 (+11.8%) at episode 1989, saving model...
05-21 12:40:12: New best reward 196.0 (+3.7%) at episode 2178, saving model...
05-21 12:40:12: New best reward 277.0 (+41.3%) at episode 2343, saving model...
05-21 12:40:14: New best reward 290.0 (+4.7%) at episode 2584, saving model...
05-21 12:40:14: New best reward 383.0 (+32.1%) at episode 2593, saving model...
05-21 12:40:15: New best reward 404.0 (+5.5%) at episode 2726, saving model...
05-21 12:40:15: New best reward 760.0 (+88.1%) at episode 2727, saving model...
05-21 12:40:16: New best reward 1434.0 (+88.7%) at episode 2949, saving model...
05-21 12:40:17: New best reward 2693.0 (+87.8%) at episode 2967, saving model...
05-21 12:40:17: New best reward 3299.0 (+22.5%) at episode 2978, saving model...
05-21 12:40:19: New best reward 10271.0 (+211.3%) at episode 3173, saving model...
05-21 12:41:01: New best reward 20657.0 (+101.1%) at episode 6925, saving model...
05-21 12:41:05: New best reward 37402.0 (+81.1%) at episode 7043, saving model...
05-21 12:41:08: New best reward 100000.0 (+167.4%) at episode 7045, saving model...
