05-22 13:06:51: Training starting...
05-22 13:06:51: New best reward 16.0 (-100.0%) at episode 0, saving model...
05-22 13:06:51: New best reward 18.0 (+12.5%) at episode 2, saving model...
05-22 13:06:51: New best reward 40.0 (+122.2%) at episode 3, saving model...
05-22 13:06:51: New best reward 110.0 (+175.0%) at episode 16, saving model...
05-22 13:06:52: New best reward 126.0 (+14.5%) at episode 875, saving model...
05-22 13:06:52: New best reward 128.0 (+1.6%) at episode 1176, saving model...
05-22 13:06:53: New best reward 136.0 (+6.2%) at episode 1676, saving model...
05-22 13:06:53: New best reward 153.0 (+12.5%) at episode 1792, saving model...
05-22 13:06:54: New best reward 177.0 (+15.7%) at episode 2058, saving model...
05-22 13:06:54: New best reward 205.0 (+15.8%) at episode 2122, saving model...
05-22 13:06:55: New best reward 287.0 (+40.0%) at episode 2169, saving model...
05-22 13:06:56: New best reward 288.0 (+0.3%) at episode 2573, saving model...
05-22 13:06:56: New best reward 299.0 (+3.8%) at episode 2613, saving model...
05-22 13:06:57: New best reward 327.0 (+9.4%) at episode 2679, saving model...
05-22 13:06:57: New best reward 491.0 (+50.2%) at episode 2687, saving model...
05-22 13:06:58: New best reward 578.0 (+17.7%) at episode 2826, saving model...
05-22 13:07:06: New best reward 587.0 (+1.6%) at episode 4200, saving model...
05-22 13:07:06: New best reward 734.0 (+25.0%) at episode 4208, saving model...
05-22 13:07:07: New best reward 879.0 (+19.8%) at episode 4286, saving model...
05-22 13:07:08: New best reward 967.0 (+10.0%) at episode 4342, saving model...
05-22 13:07:16: New best reward 1132.0 (+17.1%) at episode 5248, saving model...
05-22 13:07:16: New best reward 1263.0 (+11.6%) at episode 5250, saving model...
05-22 13:07:16: New best reward 1532.0 (+21.3%) at episode 5251, saving model...
05-22 13:07:21: New best reward 1955.0 (+27.6%) at episode 5731, saving model...
05-22 13:07:23: New best reward 2307.0 (+18.0%) at episode 5893, saving model...
05-22 13:07:25: New best reward 2330.0 (+1.0%) at episode 5986, saving model...
05-22 13:07:25: New best reward 2459.0 (+5.5%) at episode 5988, saving model...
