episode,reward
0,18.0
1,24.0
2,28.0
3,26.0
4,23.0
5,27.0
6,21.0
7,35.0
8,21.0
9,72.0
10,33.0
11,33.0
12,12.0
13,33.0
14,32.0
15,18.0
16,16.0
17,20.0
18,13.0
19,24.0
20,13.0
21,20.0
22,30.0
23,15.0
24,38.0
25,16.0
26,24.0
27,27.0
28,14.0
29,10.0
30,16.0
31,18.0
32,18.0
33,16.0
34,30.0
35,19.0
36,11.0
37,18.0
38,31.0
39,13.0
40,25.0
41,13.0
42,18.0
43,17.0
44,49.0
45,14.0
46,18.0
47,16.0
48,26.0
49,25.0
50,17.0
51,11.0
52,13.0
53,25.0
54,47.0
55,10.0
56,21.0
57,20.0
58,44.0
59,19.0
60,57.0
61,31.0
62,21.0
63,10.0
64,13.0
65,22.0
66,17.0
67,11.0
68,12.0
69,13.0
70,25.0
71,13.0
72,19.0
73,10.0
74,38.0
75,8.0
76,21.0
77,11.0
78,22.0
79,21.0
80,48.0
81,16.0
82,13.0
83,17.0
84,12.0
85,16.0
86,22.0
87,27.0
88,11.0
89,22.0
90,19.0
91,16.0
92,17.0
93,11.0
94,26.0
95,30.0
96,18.0
97,20.0
98,19.0
99,39.0
100,22.0
101,18.0
102,19.0
103,19.0
104,32.0
105,17.0
106,13.0
107,41.0
108,19.0
109,13.0
110,14.0
111,46.0
112,19.0
113,20.0
114,22.0
115,31.0
116,17.0
117,23.0
118,56.0
119,14.0
120,15.0
121,15.0
122,9.0
123,32.0
124,17.0
125,10.0
126,14.0
127,24.0
128,15.0
129,14.0
130,29.0
131,38.0
132,28.0
133,14.0
134,12.0
135,28.0
136,18.0
137,25.0
138,33.0
139,10.0
140,13.0
141,12.0
142,23.0
143,11.0
144,31.0
145,16.0
146,13.0
147,11.0
148,15.0
149,20.0
150,20.0
151,12.0
152,15.0
153,27.0
154,13.0
155,20.0
156,16.0
157,53.0
158,12.0
159,10.0
160,15.0
161,21.0
162,44.0
163,13.0
164,22.0
165,19.0
166,47.0
167,17.0
168,26.0
169,24.0
170,24.0
171,16.0
172,12.0
173,10.0
174,48.0
175,19.0
176,55.0
177,23.0
178,28.0
179,27.0
180,11.0
181,21.0
182,15.0
183,17.0
184,25.0
185,9.0
186,12.0
187,13.0
188,11.0
189,16.0
190,28.0
191,26.0
192,54.0
193,43.0
194,18.0
195,15.0
196,46.0
197,17.0
198,19.0
199,14.0
200,12.0
201,22.0
202,22.0
203,21.0
204,23.0
205,16.0
206,20.0
207,24.0
208,12.0
209,29.0
210,33.0
211,28.0
212,18.0
213,21.0
214,38.0
215,38.0
216,21.0
217,28.0
218,14.0
219,13.0
220,39.0
221,17.0
222,20.0
223,15.0
224,19.0
225,38.0
226,17.0
227,17.0
228,16.0
229,11.0
230,43.0
231,17.0
232,61.0
233,9.0
234,9.0
235,19.0
236,11.0
237,22.0
238,12.0
239,33.0
240,14.0
241,10.0
242,16.0
243,10.0
244,15.0
245,12.0
246,31.0
247,34.0
248,19.0
249,24.0
250,35.0
251,18.0
252,28.0
253,28.0
254,29.0
255,38.0
256,48.0
257,12.0
258,17.0
259,21.0
260,18.0
261,23.0
262,32.0
263,15.0
264,20.0
265,12.0
266,15.0
267,17.0
268,48.0
269,39.0
270,14.0
271,53.0
272,13.0
273,17.0
274,15.0
275,13.0
276,20.0
277,13.0
278,15.0
279,21.0
280,10.0
281,31.0
282,17.0
283,20.0
284,19.0
285,14.0
286,18.0
287,26.0
288,24.0
289,17.0
290,21.0
291,39.0
292,42.0
293,44.0
294,19.0
295,16.0
296,29.0
297,21.0
298,12.0
299,15.0
300,71.0
301,11.0
302,32.0
303,67.0
304,17.0
305,15.0
306,13.0
307,11.0
308,23.0
309,37.0
310,32.0
311,14.0
312,21.0
313,17.0
314,15.0
315,17.0
316,13.0
317,18.0
318,45.0
319,24.0
320,24.0
321,42.0
322,16.0
323,54.0
324,8.0
325,32.0
326,33.0
327,28.0
328,15.0
329,33.0
330,23.0
331,13.0
332,11.0
333,32.0
334,12.0
335,12.0
336,16.0
337,15.0
338,14.0
339,15.0
340,12.0
341,17.0
342,27.0
343,12.0
344,17.0
345,21.0
346,22.0
347,17.0
348,52.0
349,11.0
350,24.0
351,38.0
352,11.0
353,16.0
354,29.0
355,9.0
356,20.0
357,11.0
358,36.0
359,17.0
360,14.0
361,39.0
362,46.0
363,15.0
364,12.0
365,17.0
366,30.0
367,18.0
368,13.0
369,37.0
370,11.0
371,11.0
372,16.0
373,10.0
374,20.0
375,12.0
376,30.0
377,15.0
378,25.0
379,12.0
380,22.0
381,12.0
382,33.0
383,11.0
384,19.0
385,12.0
386,17.0
387,22.0
388,23.0
389,15.0
390,15.0
391,20.0
392,22.0
393,27.0
394,11.0
395,25.0
396,11.0
397,29.0
398,26.0
399,31.0
400,13.0
401,45.0
402,17.0
403,9.0
404,32.0
405,24.0
406,38.0
407,68.0
408,10.0
409,24.0
410,10.0
411,13.0
412,10.0
413,18.0
414,18.0
415,14.0
416,31.0
417,15.0
418,22.0
419,15.0
420,9.0
421,28.0
422,15.0
423,28.0
424,37.0
425,23.0
426,35.0
427,28.0
428,32.0
429,23.0
430,29.0
431,14.0
432,14.0
433,43.0
434,22.0
435,16.0
436,10.0
437,15.0
438,24.0
439,11.0
440,21.0
441,28.0
442,15.0
443,16.0
444,44.0
445,28.0
446,12.0
447,22.0
448,24.0
449,12.0
450,46.0
451,21.0
452,18.0
453,29.0
454,27.0
455,11.0
456,35.0
457,18.0
458,57.0
459,28.0
460,17.0
461,13.0
462,13.0
463,20.0
464,39.0
465,39.0
466,22.0
467,30.0
468,23.0
469,20.0
470,17.0
471,15.0
472,26.0
473,13.0
474,23.0
475,24.0
476,20.0
477,36.0
478,20.0
479,18.0
480,23.0
481,15.0
482,28.0
483,28.0
484,24.0
485,24.0
486,36.0
487,17.0
488,37.0
489,37.0
490,37.0
491,12.0
492,48.0
493,23.0
494,46.0
495,16.0
496,24.0
497,12.0
498,29.0
499,32.0
500,55.0
501,25.0
502,47.0
503,25.0
504,30.0
505,26.0
506,37.0
507,25.0
508,35.0
509,12.0
510,30.0
511,28.0
512,17.0
513,10.0
514,55.0
515,27.0
516,11.0
517,64.0
518,17.0
519,37.0
520,20.0
521,37.0
522,27.0
523,37.0
524,49.0
525,19.0
526,24.0
527,49.0
528,22.0
529,36.0
530,28.0
531,17.0
532,15.0
533,42.0
534,23.0
535,11.0
536,61.0
537,55.0
538,23.0
539,50.0
540,14.0
541,19.0
542,44.0
543,16.0
544,22.0
545,11.0
546,55.0
547,67.0
548,26.0
549,15.0
550,24.0
551,30.0
552,52.0
553,34.0
554,36.0
555,31.0
556,24.0
557,29.0
558,15.0
559,64.0
560,44.0
561,23.0
562,54.0
563,19.0
564,18.0
565,50.0
566,21.0
567,16.0
568,33.0
569,14.0
570,19.0
571,13.0
572,17.0
573,16.0
574,15.0
575,40.0
576,42.0
577,41.0
578,22.0
579,18.0
580,22.0
581,33.0
582,24.0
583,36.0
584,30.0
585,42.0
586,43.0
587,70.0
588,24.0
589,61.0
590,66.0
591,18.0
592,49.0
593,35.0
594,30.0
595,44.0
596,37.0
597,24.0
598,30.0
599,77.0
600,23.0
601,34.0
602,15.0
603,18.0
604,23.0
605,22.0
606,36.0
607,19.0
608,30.0
609,32.0
610,39.0
611,49.0
612,52.0
613,53.0
614,21.0
615,26.0
616,30.0
617,40.0
618,27.0
619,44.0
620,36.0
621,24.0
622,23.0
623,28.0
624,28.0
625,17.0
626,23.0
627,31.0
628,16.0
629,50.0
630,70.0
631,44.0
632,47.0
633,14.0
634,18.0
635,28.0
636,58.0
637,30.0
638,13.0
639,40.0
640,75.0
641,31.0
642,32.0
643,36.0
644,28.0
645,22.0
646,20.0
647,42.0
648,15.0
649,35.0
650,21.0
651,13.0
652,35.0
653,14.0
654,71.0
655,17.0
656,19.0
657,26.0
658,19.0
659,40.0
660,24.0
661,15.0
662,18.0
663,21.0
664,18.0
665,27.0
666,11.0
667,13.0
668,59.0
669,29.0
670,27.0
671,49.0
672,17.0
673,13.0
674,19.0
675,45.0
676,30.0
677,18.0
678,50.0
679,12.0
680,12.0
681,18.0
682,16.0
683,18.0
684,17.0
685,56.0
686,59.0
687,72.0
688,15.0
689,37.0
690,42.0
691,30.0
692,21.0
693,54.0
694,17.0
695,16.0
696,14.0
697,27.0
698,14.0
699,18.0
700,26.0
701,57.0
702,75.0
703,27.0
704,32.0
705,58.0
706,14.0
707,35.0
708,13.0
709,43.0
710,39.0
711,37.0
712,36.0
713,56.0
714,26.0
715,30.0
716,24.0
717,20.0
718,17.0
719,28.0
720,27.0
721,15.0
722,44.0
723,16.0
724,75.0
725,64.0
726,15.0
727,38.0
728,12.0
729,31.0
730,33.0
731,28.0
732,43.0
733,32.0
734,74.0
735,27.0
736,90.0
737,13.0
738,18.0
739,23.0
740,52.0
741,35.0
742,41.0
743,30.0
744,47.0
745,18.0
746,36.0
747,9.0
748,23.0
749,46.0
750,35.0
751,43.0
752,21.0
753,79.0
754,33.0
755,19.0
756,64.0
757,19.0
758,59.0
759,65.0
760,45.0
761,25.0
762,29.0
763,20.0
764,42.0
765,29.0
766,29.0
767,22.0
768,32.0
769,85.0
770,22.0
771,43.0
772,19.0
773,23.0
774,22.0
775,22.0
776,43.0
777,58.0
778,23.0
779,43.0
780,21.0
781,52.0
782,17.0
783,29.0
784,15.0
785,25.0
786,45.0
787,43.0
788,27.0
789,36.0
790,52.0
791,24.0
792,33.0
793,27.0
794,36.0
795,47.0
796,44.0
797,14.0
798,38.0
799,16.0
800,27.0
801,38.0
802,9.0
803,18.0
804,26.0
805,12.0
806,17.0
807,23.0
808,32.0
809,16.0
810,15.0
811,51.0
812,35.0
813,31.0
814,21.0
815,31.0
816,32.0
817,31.0
818,34.0
819,38.0
820,19.0
821,24.0
822,66.0
823,48.0
824,56.0
825,29.0
826,20.0
827,35.0
828,25.0
829,95.0
830,32.0
831,35.0
832,52.0
833,31.0
834,31.0
835,32.0
836,25.0
837,21.0
838,23.0
839,29.0
840,55.0
841,34.0
842,46.0
843,21.0
844,27.0
845,26.0
846,28.0
847,27.0
848,16.0
849,27.0
850,39.0
851,114.0
852,16.0
853,22.0
854,125.0
855,21.0
856,74.0
857,34.0
858,14.0
859,24.0
860,22.0
861,20.0
862,35.0
863,65.0
864,16.0
865,35.0
866,11.0
867,18.0
868,26.0
869,70.0
870,29.0
871,19.0
872,39.0
873,40.0
874,76.0
875,19.0
876,20.0
877,20.0
878,45.0
879,13.0
880,32.0
881,37.0
882,59.0
883,35.0
884,21.0
885,23.0
886,58.0
887,31.0
888,34.0
889,27.0
890,53.0
891,43.0
892,20.0
893,46.0
894,54.0
895,12.0
896,47.0
897,13.0
898,41.0
899,32.0
900,40.0
901,37.0
902,26.0
903,51.0
904,36.0
905,16.0
906,35.0
907,15.0
908,42.0
909,33.0
910,42.0
911,33.0
912,59.0
913,34.0
914,13.0
915,33.0
916,39.0
917,85.0
918,15.0
919,23.0
920,45.0
921,36.0
922,44.0
923,25.0
924,26.0
925,47.0
926,25.0
927,46.0
928,29.0
929,49.0
930,20.0
931,36.0
932,19.0
933,16.0
934,43.0
935,30.0
936,37.0
937,63.0
938,23.0
939,42.0
940,23.0
941,28.0
942,25.0
943,59.0
944,40.0
945,52.0
946,53.0
947,33.0
948,28.0
949,17.0
950,24.0
951,37.0
952,27.0
953,65.0
954,34.0
955,14.0
956,25.0
957,37.0
958,17.0
959,46.0
960,54.0
961,37.0
962,35.0
963,29.0
964,15.0
965,17.0
966,25.0
967,33.0
968,53.0
969,63.0
970,36.0
971,88.0
972,18.0
973,23.0
974,39.0
975,34.0
976,43.0
977,24.0
978,22.0
979,25.0
980,20.0
981,28.0
982,24.0
983,17.0
984,31.0
985,14.0
986,184.0
987,49.0
988,12.0
989,34.0
990,31.0
991,26.0
992,40.0
993,52.0
994,29.0
995,23.0
996,56.0
997,24.0
998,33.0
999,21.0
1000,26.0
1001,18.0
1002,35.0
1003,81.0
