05-21 13:37:08: Training starting...
05-21 13:37:08: New best reward 18.0 (-100.0%) at episode 0, saving model...
05-21 13:37:08: New best reward 24.0 (+33.3%) at episode 1, saving model...
05-21 13:37:08: New best reward 28.0 (+16.7%) at episode 2, saving model...
05-21 13:37:08: New best reward 35.0 (+25.0%) at episode 7, saving model...
05-21 13:37:08: New best reward 72.0 (+105.7%) at episode 9, saving model...
05-21 13:37:09: New best reward 77.0 (+6.9%) at episode 599, saving model...
05-21 13:37:09: New best reward 90.0 (+16.9%) at episode 736, saving model...
05-21 13:37:09: New best reward 95.0 (+5.6%) at episode 829, saving model...
05-21 13:37:10: New best reward 114.0 (+20.0%) at episode 851, saving model...
05-21 13:37:10: New best reward 125.0 (+9.6%) at episode 854, saving model...
05-21 13:37:10: New best reward 184.0 (+47.2%) at episode 986, saving model...
05-21 13:37:11: New best reward 252.0 (+37.0%) at episode 1773, saving model...
05-21 13:37:12: New best reward 258.0 (+2.4%) at episode 2240, saving model...
05-21 13:37:13: New best reward 310.0 (+20.2%) at episode 2426, saving model...
05-21 13:37:13: New best reward 320.0 (+3.2%) at episode 2489, saving model...
05-21 13:37:14: New best reward 333.0 (+4.1%) at episode 2519, saving model...
05-21 13:37:14: New best reward 393.0 (+18.0%) at episode 2523, saving model...
05-21 13:37:14: New best reward 403.0 (+2.5%) at episode 2532, saving model...
05-21 13:37:14: New best reward 407.0 (+1.0%) at episode 2676, saving model...
05-21 13:37:15: New best reward 452.0 (+11.1%) at episode 2795, saving model...
05-21 13:37:16: New best reward 477.0 (+5.5%) at episode 2896, saving model...
05-21 13:37:18: New best reward 506.0 (+6.1%) at episode 3163, saving model...
05-21 13:37:36: New best reward 569.0 (+12.5%) at episode 5777, saving model...
05-21 13:37:36: New best reward 806.0 (+41.7%) at episode 5779, saving model...
05-21 13:37:36: New best reward 906.0 (+12.4%) at episode 5780, saving model...
05-21 13:37:36: New best reward 971.0 (+7.2%) at episode 5784, saving model...
05-21 13:37:36: New best reward 1178.0 (+21.3%) at episode 5785, saving model...
