episode,reward
0,16.0
1,29.0
2,12.0
3,17.0
4,14.0
5,12.0
6,16.0
7,13.0
8,13.0
9,12.0
10,14.0
11,26.0
12,40.0
13,24.0
14,11.0
15,11.0
16,13.0
17,24.0
18,19.0
19,25.0
20,16.0
21,24.0
22,24.0
23,42.0
24,22.0
25,34.0
26,9.0
27,21.0
28,45.0
29,36.0
30,48.0
31,12.0
32,24.0
33,14.0
34,10.0
35,18.0
36,22.0
37,55.0
38,57.0
39,60.0
40,14.0
41,17.0
42,19.0
43,17.0
44,26.0
45,17.0
46,18.0
47,15.0
48,27.0
49,43.0
50,12.0
51,21.0
52,15.0
53,14.0
54,46.0
55,16.0
56,13.0
57,18.0
58,15.0
59,10.0
60,15.0
61,44.0
62,40.0
63,11.0
64,21.0
65,25.0
66,29.0
67,28.0
68,21.0
69,12.0
70,30.0
71,17.0
72,51.0
73,40.0
74,12.0
75,19.0
76,15.0
77,15.0
78,9.0
79,24.0
80,31.0
81,26.0
82,13.0
83,13.0
84,14.0
85,12.0
86,28.0
87,24.0
88,20.0
89,10.0
90,15.0
91,19.0
92,19.0
93,39.0
94,18.0
95,24.0
96,19.0
97,13.0
98,13.0
99,27.0
100,71.0
101,12.0
102,19.0
103,11.0
104,21.0
105,18.0
106,10.0
107,17.0
108,37.0
109,24.0
110,36.0
111,13.0
112,12.0
113,11.0
114,17.0
115,17.0
116,23.0
117,22.0
118,14.0
119,11.0
120,12.0
121,20.0
122,26.0
123,30.0
124,11.0
125,13.0
126,12.0
127,11.0
128,14.0
129,12.0
130,14.0
131,26.0
132,12.0
133,49.0
134,13.0
135,12.0
136,46.0
137,30.0
138,16.0
139,15.0
140,18.0
141,21.0
142,11.0
143,25.0
144,9.0
145,10.0
146,20.0
147,31.0
148,12.0
149,16.0
150,11.0
151,22.0
152,13.0
153,11.0
154,49.0
155,19.0
156,28.0
157,12.0
158,18.0
159,14.0
160,15.0
161,23.0
162,11.0
163,13.0
164,11.0
165,23.0
166,16.0
167,14.0
168,12.0
169,33.0
170,16.0
171,12.0
172,28.0
173,11.0
174,10.0
175,12.0
176,40.0
177,14.0
178,24.0
179,14.0
180,41.0
181,11.0
182,13.0
183,44.0
184,23.0
185,21.0
186,25.0
187,21.0
188,15.0
189,17.0
190,70.0
191,12.0
192,9.0
193,24.0
194,9.0
195,19.0
196,17.0
197,14.0
198,10.0
199,16.0
200,15.0
201,12.0
202,14.0
203,19.0
204,22.0
205,19.0
206,17.0
207,12.0
208,29.0
209,31.0
210,19.0
211,13.0
212,13.0
213,12.0
214,21.0
215,19.0
216,14.0
217,19.0
218,18.0
219,18.0
220,15.0
221,17.0
222,20.0
223,14.0
224,14.0
225,34.0
226,48.0
227,17.0
228,12.0
229,19.0
230,19.0
231,10.0
232,25.0
233,28.0
234,9.0
235,23.0
236,51.0
237,40.0
238,10.0
239,10.0
240,28.0
241,10.0
242,12.0
243,15.0
244,20.0
245,19.0
246,9.0
247,14.0
248,12.0
249,19.0
250,16.0
251,23.0
252,24.0
253,19.0
254,33.0
255,28.0
256,23.0
257,15.0
258,12.0
259,15.0
260,34.0
261,23.0
262,27.0
263,61.0
264,27.0
265,17.0
266,12.0
267,20.0
268,18.0
269,11.0
270,29.0
271,30.0
272,14.0
273,43.0
274,14.0
275,18.0
276,10.0
277,43.0
278,21.0
279,34.0
280,18.0
281,14.0
282,57.0
283,25.0
284,18.0
285,30.0
286,20.0
287,17.0
288,15.0
289,11.0
290,16.0
291,13.0
292,25.0
293,17.0
294,13.0
295,14.0
296,11.0
297,14.0
298,11.0
299,52.0
300,15.0
301,28.0
302,10.0
303,11.0
304,22.0
305,27.0
306,16.0
307,12.0
308,28.0
309,37.0
310,17.0
311,19.0
312,33.0
313,25.0
314,25.0
315,10.0
316,16.0
317,18.0
318,9.0
319,21.0
320,20.0
321,13.0
322,37.0
323,9.0
324,34.0
325,21.0
326,11.0
327,14.0
328,15.0
329,9.0
330,15.0
331,8.0
332,14.0
333,11.0
334,27.0
335,11.0
336,20.0
337,15.0
338,17.0
339,11.0
340,23.0
341,20.0
342,21.0
343,9.0
344,22.0
345,30.0
346,28.0
347,24.0
348,10.0
349,14.0
350,21.0
351,9.0
352,21.0
353,36.0
354,16.0
355,25.0
356,26.0
357,10.0
358,14.0
359,55.0
360,22.0
361,11.0
362,14.0
363,13.0
364,10.0
365,9.0
366,26.0
367,20.0
368,15.0
369,35.0
370,20.0
371,26.0
372,31.0
373,18.0
374,18.0
375,19.0
376,27.0
377,24.0
378,13.0
379,75.0
380,24.0
381,20.0
382,18.0
383,12.0
384,33.0
385,16.0
386,26.0
387,15.0
388,45.0
389,29.0
390,23.0
391,22.0
392,13.0
393,12.0
394,16.0
395,51.0
396,25.0
397,14.0
398,59.0
399,26.0
400,33.0
401,11.0
402,28.0
403,9.0
404,16.0
405,55.0
406,18.0
407,25.0
408,14.0
409,13.0
410,13.0
411,17.0
412,11.0
413,13.0
414,11.0
415,44.0
416,12.0
417,22.0
418,14.0
419,17.0
420,35.0
421,10.0
422,22.0
423,14.0
424,15.0
425,23.0
426,18.0
427,12.0
428,11.0
429,19.0
430,13.0
431,20.0
432,15.0
433,45.0
434,25.0
435,12.0
436,18.0
437,29.0
438,21.0
439,25.0
440,13.0
441,33.0
442,14.0
443,10.0
444,30.0
445,17.0
446,29.0
447,13.0
448,11.0
449,12.0
450,20.0
451,12.0
452,27.0
453,26.0
454,17.0
455,19.0
456,13.0
457,20.0
458,15.0
459,10.0
460,18.0
461,17.0
462,18.0
463,13.0
464,14.0
465,22.0
466,32.0
467,40.0
468,19.0
469,21.0
470,25.0
471,24.0
472,20.0
473,21.0
474,52.0
475,14.0
476,17.0
477,23.0
478,24.0
479,52.0
480,11.0
481,25.0
482,11.0
483,25.0
484,13.0
485,10.0
486,24.0
487,14.0
488,27.0
489,20.0
490,9.0
491,31.0
492,20.0
493,25.0
494,17.0
495,18.0
496,11.0
497,22.0
498,9.0
499,17.0
500,18.0
501,46.0
502,12.0
503,15.0
504,26.0
505,14.0
506,11.0
507,19.0
508,18.0
509,53.0
510,22.0
511,15.0
512,29.0
513,13.0
514,22.0
515,31.0
516,10.0
517,14.0
518,26.0
519,11.0
520,13.0
521,11.0
522,18.0
523,12.0
524,8.0
525,13.0
526,19.0
527,15.0
528,11.0
529,18.0
530,20.0
531,41.0
532,31.0
533,9.0
534,19.0
535,10.0
536,18.0
537,29.0
538,16.0
539,16.0
540,14.0
541,14.0
542,19.0
543,11.0
544,15.0
545,19.0
546,16.0
547,12.0
548,13.0
549,33.0
550,22.0
551,14.0
552,23.0
553,20.0
554,20.0
555,15.0
556,37.0
557,14.0
558,22.0
559,21.0
560,23.0
561,13.0
562,18.0
563,34.0
564,15.0
565,14.0
566,10.0
567,67.0
568,14.0
569,28.0
570,20.0
571,18.0
572,16.0
573,24.0
574,14.0
575,15.0
576,15.0
577,13.0
578,28.0
579,18.0
580,18.0
581,9.0
582,12.0
583,31.0
584,11.0
585,14.0
586,16.0
587,10.0
588,12.0
589,21.0
590,19.0
591,16.0
592,21.0
593,24.0
594,11.0
595,11.0
596,12.0
597,19.0
598,13.0
599,10.0
600,12.0
601,19.0
602,11.0
603,43.0
604,20.0
605,13.0
606,13.0
607,18.0
608,17.0
609,12.0
610,15.0
611,13.0
612,11.0
613,17.0
