05-21 12:39:28: Training starting...
05-21 12:39:28: New best reward 16.0 (-100.0%) at episode 0, saving model...
05-21 12:39:28: New best reward 29.0 (+81.2%) at episode 1, saving model...
05-21 12:39:28: New best reward 40.0 (+37.9%) at episode 12, saving model...
05-21 12:39:28: New best reward 42.0 (+5.0%) at episode 23, saving model...
05-21 12:39:28: New best reward 45.0 (+7.1%) at episode 28, saving model...
05-21 12:39:28: New best reward 48.0 (+6.7%) at episode 30, saving model...
05-21 12:39:28: New best reward 55.0 (+14.6%) at episode 37, saving model...
05-21 12:39:28: New best reward 57.0 (+3.6%) at episode 38, saving model...
05-21 12:39:28: New best reward 60.0 (+5.3%) at episode 39, saving model...
05-21 12:39:28: New best reward 71.0 (+18.3%) at episode 100, saving model...
05-21 12:39:28: New best reward 75.0 (+5.6%) at episode 379, saving model...
05-21 12:39:29: New best reward 110.0 (+46.7%) at episode 768, saving model...
05-21 12:39:29: New best reward 112.0 (+1.8%) at episode 904, saving model...
05-21 12:39:29: New best reward 125.0 (+11.6%) at episode 937, saving model...
05-21 12:39:29: New best reward 127.0 (+1.6%) at episode 1106, saving model...
05-21 12:39:29: New best reward 145.0 (+14.2%) at episode 1214, saving model...
05-21 12:39:30: New best reward 292.0 (+101.4%) at episode 1503, saving model...
05-21 12:39:32: New best reward 349.0 (+19.5%) at episode 2548, saving model...
05-21 12:39:33: New best reward 399.0 (+14.3%) at episode 2827, saving model...
05-21 12:39:34: New best reward 405.0 (+1.5%) at episode 3069, saving model...
05-21 12:39:34: New best reward 542.0 (+33.8%) at episode 3112, saving model...
05-21 12:39:35: New best reward 678.0 (+25.1%) at episode 3292, saving model...
05-21 12:39:46: New best reward 698.0 (+2.9%) at episode 5559, saving model...
05-21 12:39:46: New best reward 967.0 (+38.5%) at episode 5583, saving model...
05-21 12:39:47: New best reward 1348.0 (+39.4%) at episode 5661, saving model...
05-21 12:39:51: New best reward 1380.0 (+2.4%) at episode 6288, saving model...
05-21 12:39:51: New best reward 1557.0 (+12.8%) at episode 6289, saving model...
05-21 12:39:52: New best reward 1721.0 (+10.5%) at episode 6442, saving model...
05-21 12:39:54: New best reward 1923.0 (+11.7%) at episode 6658, saving model...
05-21 12:39:57: New best reward 2612.0 (+35.8%) at episode 6963, saving model...
05-21 12:40:10: New best reward 2769.0 (+6.0%) at episode 7862, saving model...
05-21 12:40:11: New best reward 2874.0 (+3.8%) at episode 7893, saving model...
05-21 12:40:12: New best reward 3210.0 (+11.7%) at episode 7954, saving model...
05-21 12:40:15: New best reward 4630.0 (+44.2%) at episode 8238, saving model...
05-21 12:40:15: New best reward 8869.0 (+91.6%) at episode 8239, saving model...
05-21 12:40:17: New best reward 16413.0 (+85.1%) at episode 8276, saving model...
05-21 12:40:19: New best reward 33312.0 (+103.0%) at episode 8303, saving model...
05-21 12:40:24: New best reward 73812.0 (+121.6%) at episode 8320, saving model...
05-21 12:41:23: New best reward 79693.0 (+8.0%) at episode 9097, saving model...
05-21 12:42:11: New best reward 100000.0 (+25.5%) at episode 9557, saving model...
