05-22 14:57:45: Training starting...
05-22 14:57:45: New best reward -7.5 (-100.0%) at episode 0, saving model...
05-22 14:57:45: New best reward -6.9 (-8.0%) at episode 9, saving model...
05-22 14:57:45: New best reward -5.7 (-17.4%) at episode 10, saving model...
05-22 14:57:45: New best reward -5.1 (-10.5%) at episode 25, saving model...
05-22 14:57:45: New best reward -2.7 (-47.1%) at episode 132, saving model...
05-22 14:57:46: New best reward -2.1 (-22.2%) at episode 269, saving model...
05-22 14:57:46: New best reward -1.5 (-28.6%) at episode 281, saving model...
05-22 14:57:46: New best reward 3.9 (-360.0%) at episode 434, saving model...
05-22 14:57:47: New best reward 4.1 (+5.1%) at episode 1020, saving model...
05-22 14:57:48: New best reward 5.0 (+22.0%) at episode 1264, saving model...
05-22 14:57:49: New best reward 6.4 (+28.0%) at episode 1682, saving model...
05-22 14:57:50: New best reward 8.4 (+31.2%) at episode 1764, saving model...
05-22 14:57:54: New best reward 8.6 (+2.4%) at episode 3130, saving model...
05-22 14:57:55: New best reward 9.5 (+10.5%) at episode 3355, saving model...
05-22 14:57:57: New best reward 10.5 (+10.5%) at episode 3819, saving model...
05-22 14:58:00: New best reward 11.1 (+5.7%) at episode 4859, saving model...
05-22 14:58:04: New best reward 12.9 (+16.2%) at episode 6145, saving model...
05-22 14:58:06: New best reward 13.8 (+7.0%) at episode 6868, saving model...
05-22 14:58:15: New best reward 17.9 (+29.7%) at episode 9818, saving model...
05-22 14:58:17: New best reward 18.7 (+4.5%) at episode 10443, saving model...
05-22 14:58:49: New best reward 29.4 (+57.2%) at episode 20245, saving model...
05-22 14:59:52: New best reward 31.9 (+8.5%) at episode 36942, saving model...
05-22 15:01:06: New best reward 32.5 (+1.9%) at episode 56718, saving model...
05-22 15:17:48: New best reward 40.9 (+25.8%) at episode 302592, saving model...
05-22 15:18:25: New best reward 54.9 (+34.2%) at episode 310262, saving model...
05-22 15:20:17: New best reward 62.4 (+13.7%) at episode 332185, saving model...
05-22 15:21:24: New best reward 64.4 (+3.2%) at episode 345463, saving model...
05-22 15:21:59: New best reward 64.9 (+0.8%) at episode 351525, saving model...
05-22 15:22:27: New best reward 69.9 (+7.7%) at episode 357641, saving model...
05-22 15:30:18: New best reward 70.0 (+0.1%) at episode 458667, saving model...
05-22 15:36:33: New best reward 80.7 (+15.3%) at episode 540024, saving model...
05-22 15:54:55: New best reward 82.9 (+2.7%) at episode 784441, saving model...
