05-22 14:57:57: Training starting...
05-22 14:57:57: New best reward -6.3 (-100.0%) at episode 0, saving model...
05-22 14:57:57: New best reward -4.5 (-28.6%) at episode 12, saving model...
05-22 14:57:57: New best reward -3.3 (-26.7%) at episode 39, saving model...
05-22 14:57:57: New best reward -2.7 (-18.2%) at episode 68, saving model...
05-22 14:57:57: New best reward -0.9 (-66.7%) at episode 172, saving model...
05-22 14:57:58: New best reward 2.1 (-333.3%) at episode 407, saving model...
05-22 14:57:58: New best reward 3.9 (+85.7%) at episode 587, saving model...
05-22 14:57:59: New best reward 4.1 (+5.1%) at episode 1019, saving model...
05-22 14:58:00: New best reward 5.0 (+22.0%) at episode 1277, saving model...
05-22 14:58:02: New best reward 6.8 (+36.0%) at episode 1841, saving model...
05-22 14:58:05: New best reward 8.4 (+23.5%) at episode 2616, saving model...
05-22 14:58:06: New best reward 8.7 (+3.6%) at episode 2767, saving model...
05-22 14:58:06: New best reward 9.5 (+9.2%) at episode 2887, saving model...
05-22 14:58:08: New best reward 12.9 (+35.8%) at episode 3211, saving model...
05-22 14:58:31: New best reward 14.0 (+8.5%) at episode 8850, saving model...
05-22 14:58:47: New best reward 15.3 (+9.3%) at episode 12432, saving model...
05-22 14:58:53: New best reward 15.4 (+0.7%) at episode 13793, saving model...
05-22 14:58:54: New best reward 22.4 (+45.5%) at episode 13831, saving model...
05-22 14:59:01: New best reward 22.7 (+1.3%) at episode 15286, saving model...
05-22 14:59:05: New best reward 26.9 (+18.5%) at episode 16079, saving model...
05-22 14:59:23: New best reward 27.8 (+3.3%) at episode 19792, saving model...
05-22 15:02:19: New best reward 32.4 (+16.5%) at episode 55257, saving model...
05-22 15:02:32: New best reward 32.8 (+1.2%) at episode 57923, saving model...
05-22 15:02:49: New best reward 36.4 (+11.0%) at episode 60987, saving model...
05-22 15:02:53: New best reward 37.1 (+1.9%) at episode 61805, saving model...
05-22 15:05:12: New best reward 37.6 (+1.3%) at episode 87986, saving model...
05-22 15:06:16: New best reward 40.9 (+8.8%) at episode 99578, saving model...
05-22 15:06:52: New best reward 46.6 (+13.9%) at episode 106176, saving model...
05-22 15:06:57: New best reward 54.9 (+17.8%) at episode 107068, saving model...
05-22 15:13:50: New best reward 67.1 (+22.2%) at episode 174576, saving model...
05-22 15:16:09: New best reward 67.2 (+0.1%) at episode 196313, saving model...
05-22 15:24:36: New best reward 71.2 (+6.0%) at episode 280574, saving model...
05-22 15:40:44: New best reward 71.8 (+0.8%) at episode 441577, saving model...
05-22 16:01:17: New best reward 74.4 (+3.6%) at episode 648355, saving model...
05-22 16:01:37: New best reward 87.9 (+18.1%) at episode 651896, saving model...
05-22 16:14:00: New best reward 97.6 (+11.0%) at episode 778473, saving model...
