05-22 14:57:46: Training starting...
05-22 14:57:46: New best reward -6.9 (-100.0%) at episode 0, saving model...
05-22 14:57:46: New best reward -5.7 (-17.4%) at episode 3, saving model...
05-22 14:57:46: New best reward -5.1 (-10.5%) at episode 6, saving model...
05-22 14:57:46: New best reward -4.5 (-11.8%) at episode 142, saving model...
05-22 14:57:46: New best reward -3.9 (-13.3%) at episode 287, saving model...
05-22 14:57:46: New best reward -2.7 (-30.8%) at episode 297, saving model...
05-22 14:57:47: New best reward -0.9 (-66.7%) at episode 348, saving model...
05-22 14:57:47: New best reward 0.3 (-133.3%) at episode 467, saving model...
05-22 14:57:47: New best reward 0.9 (+200.0%) at episode 501, saving model...
05-22 14:57:47: New best reward 3.9 (+333.3%) at episode 572, saving model...
05-22 14:57:49: New best reward 4.0 (+2.6%) at episode 998, saving model...
05-22 14:57:49: New best reward 4.5 (+12.5%) at episode 1339, saving model...
05-22 14:57:50: New best reward 6.6 (+46.7%) at episode 1476, saving model...
05-22 14:57:52: New best reward 8.4 (+27.3%) at episode 2125, saving model...
05-22 14:57:53: New best reward 8.5 (+1.2%) at episode 2679, saving model...
05-22 14:57:56: New best reward 9.1 (+7.1%) at episode 3549, saving model...
05-22 14:57:58: New best reward 10.8 (+18.7%) at episode 4322, saving model...
05-22 14:58:01: New best reward 11.2 (+3.7%) at episode 5739, saving model...
05-22 14:58:14: New best reward 15.7 (+40.2%) at episode 10386, saving model...
05-22 14:58:21: New best reward 17.9 (+14.0%) at episode 13057, saving model...
05-22 14:58:22: New best reward 20.6 (+15.1%) at episode 13428, saving model...
05-22 14:58:23: New best reward 22.4 (+8.7%) at episode 13625, saving model...
05-22 14:58:24: New best reward 22.8 (+1.8%) at episode 13884, saving model...
05-22 14:58:28: New best reward 23.4 (+2.6%) at episode 15277, saving model...
05-22 14:58:30: New best reward 29.4 (+25.6%) at episode 15921, saving model...
05-22 15:01:00: New best reward 31.9 (+8.5%) at episode 63412, saving model...
05-22 15:01:50: New best reward 34.5 (+8.2%) at episode 77617, saving model...
05-22 15:02:41: New best reward 36.5 (+5.8%) at episode 91747, saving model...
05-22 15:02:47: New best reward 36.9 (+1.1%) at episode 93374, saving model...
05-22 15:03:41: New best reward 39.1 (+6.0%) at episode 107576, saving model...
05-22 15:03:51: New best reward 50.4 (+28.9%) at episode 110167, saving model...
05-22 15:06:13: New best reward 55.1 (+9.3%) at episode 145402, saving model...
05-22 15:07:40: New best reward 64.4 (+16.9%) at episode 166715, saving model...
05-22 15:10:32: New best reward 69.8 (+8.4%) at episode 206937, saving model...
05-22 15:14:01: New best reward 92.4 (+32.4%) at episode 249005, saving model...
05-22 15:32:19: New best reward 97.8 (+5.8%) at episode 477749, saving model...
05-22 15:44:36: New best reward 101.9 (+4.2%) at episode 638924, saving model...
05-22 15:51:51: New best reward 116.2 (+14.0%) at episode 730163, saving model...
