05-22 14:44:57: Training starting...
05-22 14:44:57: New best reward -7.5 (-100.0%) at episode 0, saving model...
05-22 14:44:57: New best reward -6.9 (-8.0%) at episode 1, saving model...
05-22 14:44:57: New best reward -5.1 (-26.1%) at episode 4, saving model...
05-22 14:44:57: New best reward -4.5 (-11.8%) at episode 20, saving model...
05-22 14:44:57: New best reward -2.7 (-40.0%) at episode 40, saving model...
05-22 14:44:57: New best reward -0.3 (-88.9%) at episode 164, saving model...
05-22 14:44:58: New best reward 3.9 (-1400.0%) at episode 396, saving model...
05-22 14:44:59: New best reward 4.0 (+2.6%) at episode 1185, saving model...
05-22 14:45:00: New best reward 5.0 (+25.0%) at episode 1426, saving model...
05-22 14:45:00: New best reward 8.4 (+68.0%) at episode 1862, saving model...
05-22 14:45:02: New best reward 8.5 (+1.2%) at episode 2663, saving model...
05-22 14:45:03: New best reward 10.6 (+24.7%) at episode 3147, saving model...
05-22 14:45:04: New best reward 13.9 (+31.1%) at episode 3189, saving model...
05-22 14:45:32: New best reward 17.9 (+28.8%) at episode 14666, saving model...
05-22 14:45:36: New best reward 18.0 (+0.6%) at episode 16183, saving model...
05-22 14:45:37: New best reward 20.4 (+13.3%) at episode 16604, saving model...
05-22 14:45:37: New best reward 22.4 (+9.8%) at episode 16683, saving model...
05-22 14:45:47: New best reward 22.6 (+0.9%) at episode 20279, saving model...
05-22 14:45:49: New best reward 27.6 (+22.1%) at episode 20729, saving model...
05-22 14:46:37: New best reward 36.4 (+31.9%) at episode 38368, saving model...
05-22 14:47:03: New best reward 37.4 (+2.7%) at episode 46553, saving model...
05-22 14:47:48: New best reward 55.3 (+47.9%) at episode 61252, saving model...
05-22 14:51:00: New best reward 59.9 (+8.3%) at episode 117722, saving model...
05-22 14:52:05: New best reward 68.9 (+15.0%) at episode 134225, saving model...
05-22 14:56:52: New best reward 78.4 (+13.8%) at episode 203199, saving model...
05-22 15:14:43: New best reward 83.6 (+6.6%) at episode 424647, saving model...
05-22 15:16:59: New best reward 90.5 (+8.3%) at episode 448945, saving model...
05-22 15:23:45: New best reward 92.4 (+2.1%) at episode 527814, saving model...
