episode,reward
0,-145.87225159782275
1,-371.8607971603483
2,-123.46711885236347
3,-170.02009903220025
4,-127.34684893509203
5,-113.62193829308205
6,-122.04146989264437
7,-156.89332011258625
8,-172.4884078548745
9,-407.4223500459506
10,-108.32948914075837
11,-221.37781904276295
12,-241.21275158300517
13,-131.2647054382607
14,-202.12837768171926
15,-22.198498109427305
16,-249.5035394618655
17,-90.87106907505063
18,-129.94089840867392
19,-91.32961951684841
20,-202.68523658764744
21,-106.1472224707781
22,-457.4581356040551
23,-282.3612223395672
24,-153.77926112934244
25,-363.950979013788
26,-293.32287167265525
27,-157.0701698649226
28,-180.42670858613684
29,-129.71136710483952
30,15.272874166489885
31,-202.5735369800022
32,-192.8893730251254
33,-378.53008057397426
34,-120.52644060970157
35,-315.66810189426985
36,-92.17103415994785
37,-89.60026046170525
38,-121.11259510333355
39,-159.28678528089083
40,-85.84848304102609
41,-264.9830329945445
42,-98.02856065403475
43,-386.4058434858987
44,-191.37300096410644
45,-316.99471041351705
46,-184.26483269679238
47,-196.51148073528645
48,-94.02795242234946
49,-328.6121228229091
50,-308.0857288579501
51,-70.43281522133361
52,-94.1943137151813
53,-348.6762617668586
54,7.256140464428867
55,-203.7934981335491
56,-350.4968024726595
57,-104.21796424727488
58,-155.70793688322743
59,-374.2657689943416
60,-200.49566402595156
61,-131.80046043938228
62,-181.45486970265296
63,-434.40879601671816
64,-113.60396114453249
65,-315.7494583219665
66,-342.5964207204895
67,-72.1556301434895
68,-96.86502233809411
69,-102.19680687748021
70,-232.65371103808988
71,-217.72316539451606
72,-153.69812870243896
73,-309.10296171354
74,-214.1910183799361
75,-84.2414168509896
76,-90.49551343754864
77,-83.17241769967079
78,-211.64515936946637
79,-121.3981885565017
80,-132.33174649761918
81,-150.9386427665737
82,-158.78232558999457
83,-127.13382691385736
84,-388.07960361910335
85,-351.37793714539123
86,-110.40012140980757
87,-95.19755018953273
88,-299.7883732604686
89,-81.55074169726923
90,-280.5668246943427
91,-85.84438467420162
92,-81.12210320114478
93,-147.84122834336137
94,-264.7070361358345
95,-239.06905151803574
96,-226.01440822937695
97,-79.85129152551065
98,-276.1516107275735
99,-457.4442561581358
100,-402.9155824124278
101,-274.40827045105567
102,-294.2270056235428
103,-159.8749435657027
104,-59.88144395179164
105,-396.8832089376034
106,-155.67959255276088
107,-5.648357467960238
108,-133.90650650288526
109,-161.41847237737937
110,-181.12337230651917
111,-203.56618698324144
112,-60.09197606482372
113,-50.55391135278169
114,-76.40579513430919
115,45.531813222968424
116,-275.69037409760926
117,-261.5517786321358
118,-72.37198386717928
119,-283.0189530877076
120,18.940822779063353
121,-176.1938395621479
122,-275.87997312306345
123,-203.19281937993117
124,-96.24247639805955
125,-380.5104175954036
126,-355.53965544558986
127,-163.69659874806507
128,-276.8895618901497
129,-245.2358349905227
130,-142.23820495891175
131,-107.33907451284442
132,-106.80414706758704
133,-99.20702642765822
134,-210.28883830941828
135,-281.25525620229394
136,-103.26518414859507
137,-81.09075881329335
138,-301.9017531335129
139,-172.85953994625947
140,-96.97332340686472
141,-324.2379002910756
142,-119.32916607769874
143,-411.5568259379942
144,-108.85255033328295
145,-259.82460455895466
146,-337.82243230712015
147,-219.64757586287664
148,-144.7300995108476
149,-163.6361575436412
150,-373.56633977759344
151,-130.74318848849026
152,-145.04646269212242
153,-197.0399586174845
154,-113.0421882884574
155,-273.5285745809219
156,-95.48742827042852
157,-321.82002301308944
158,-166.79360565730337
159,-55.58063267671117
160,-280.37721766097314
161,-82.53464545436222
162,-217.68074997008011
163,-235.86810638295614
164,-258.91372412444105
165,-135.8588267279257
166,-321.4445584040334
167,-406.5772648988307
168,-62.14331071008114
169,-362.2791847759411
170,-70.13707063984266
171,-128.13902182324824
172,-334.80733267530803
173,-169.42821390548866
174,-126.0512820773788
175,-472.65271306107996
176,-110.8853703418852
177,-266.02287400305653
178,-54.68635946858238
179,-205.3461692856124
180,-89.49361139413836
181,-76.36495259418193
182,-114.94859332788127
183,-289.7588436860236
184,-91.71521912323315
185,-329.01346451406806
186,-86.47084633874479
187,-201.47179230052902
188,-57.83494801823477
189,-264.6051178431168
190,-142.5900692595156
191,-464.0200888460684
192,-340.37463309492813
193,-87.58512948450864
194,-84.20944066868218
195,-308.93987680750627
196,-125.87963167842642
197,-438.8281821287806
198,-425.62382375085014
199,-214.05413956264908
200,-82.8530716381104
201,-70.99777902160521
202,-425.8476644607106
203,-228.78733413120608
204,-142.48027279508418
205,-283.5261669814163
206,-415.2931174136244
207,-165.57960191802022
208,-379.0634917803342
209,-257.2636615302192
210,-66.246219451608
211,-179.40060763555496
212,-346.2974917610547
213,-283.23065321812214
214,-317.4362022961399
215,-128.6274687537903
216,-27.451716532303166
217,-394.47970020981535
218,-256.74996529328143
219,-270.2528528380347
220,-101.42931268644182
221,-274.3084164688507
222,-213.65094505767718
223,-79.3256932690487
224,-101.81825767241438
225,-108.32650892308132
226,-163.06294969483915
227,-104.11344069139112
228,-277.0722201586515
229,-162.33768309680545
230,-60.755453723537684
231,-112.87192516967752
232,-254.51859151596392
233,-77.56775162042106
234,-292.3842148247726
235,-126.07647018015147
236,-268.4524161378536
237,-85.80123648859181
238,-67.13210630326019
239,-363.7626325969991
240,-142.17921733620753
241,-148.602920974751
242,-88.9907892527853
243,-299.35852568455084
244,-184.74302078516757
245,-332.36841238995544
246,-372.47492741869934
247,-66.09537938946744
248,-92.77141422374518
249,-305.62378686081263
250,-100.63689496102569
251,-233.8419098430854
252,-98.54853507428453
253,-104.69822854909347
254,-130.17019446858325
255,-254.82347860879915
256,-55.93335021161113
257,-103.63667914753216
258,-201.75466337817423
259,-59.858287078646896
260,-114.61948618109004
261,-236.76578473668846
262,-268.9077901391362
263,-196.57825656251467
264,-223.04355410398233
265,-59.38268664662218
266,-145.5767242645773
267,-72.46877497979219
268,-352.05155244466744
269,-92.73897563797495
270,-70.50759151632167
271,-146.89112414542336
272,-228.92980598660756
273,-246.58731244073263
274,-73.01234141436498
275,-82.54396719318898
276,-28.873913851359504
277,-172.3834829481168
278,-277.27090595090505
