episode,reward
0,-181.60669113345045
1,-303.2026860015317
2,-117.30997252049423
3,-406.2469955495097
4,-121.93084392454654
5,-152.35190945727328
6,-111.1306126375414
7,-115.70217173008257
8,-1901.5593440312507
9,-222.14441443650279
10,-117.65243380789973
11,-95.73653448216493
12,-78.86139012261641
13,-191.84507876931883
14,-47.81521992952928
15,-5.89170009536852
16,-115.23547526011056
17,-219.34528750526152
18,-156.55312644800736
19,-128.1852056672927
20,-82.59427042324691
21,-361.9763291436047
22,-279.8163560885272
23,-101.62267337765003
24,-265.78369097035096
25,-95.92479286428046
26,-201.9781849809022
27,-398.94562819410226
28,-99.79065288311516
29,-339.71990586988204
30,-263.6266127645788
31,-218.8657543327541
32,-67.32914767913054
33,-398.87524957511505
34,-133.41290124890858
35,-201.04398289468557
36,-111.71657535128303
37,-117.26311187026481
38,-126.88069392364636
39,-218.45198399607065
40,-151.60904530930475
41,-85.22509877969831
42,-159.93078925029465
43,-225.84888757775076
44,-112.5342367859137
45,-91.14116252450329
46,-1582.5621629519492
47,-171.88396682518817
48,-128.9557435863076
49,-100.72299077432658
50,-110.2517446985863
51,-139.25337198504076
52,-98.42799922466004
53,-86.42093905142268
54,-158.23267472719994
55,-102.75054958409686
56,-121.82827464783898
57,-185.33250279170477
58,-128.64644104078275
59,-95.67714894263297
60,-111.99246294321455
61,-80.30180902188692
62,-206.74208666301124
63,-225.22018778360666
64,-267.20563383119736
65,-148.84121249015084
66,-132.81789778798358
67,-25.190164934749887
68,-103.90963165609925
69,-125.72541193133867
70,-126.78141882545752
71,-135.0436737644111
72,-63.59229601176085
73,-119.37097954541278
74,-131.68723596613046
75,-174.4981942234383
76,-378.0018674046082
77,-180.04378264503987
78,-364.897997857515
79,-105.81126669356279
80,-136.7731063199839
81,-89.234885719326
82,-133.06781100929425
83,-113.13274279331462
84,-216.52580562627367
85,-347.0974893679373
86,-215.8807666932621
87,-123.99275756831793
88,-115.03193148831627
89,-296.532171767606
90,-167.52636820011344
91,-251.80338762251571
92,-155.13066204476038
93,-200.06353357434008
94,-93.37908207199433
95,-213.92017851536207
96,-131.5664459714816
97,-73.96329488084135
98,-80.52130934608888
99,-220.11341943794088
100,-88.77363103220969
101,-125.2735178216684
102,-108.30220636412928
103,-183.76065920521853
104,-195.79254398750982
105,-98.34720070596644
106,-265.48977294760914
107,-269.92243622468095
108,-101.70086190138011
109,-286.6484392170631
110,-135.83318670893934
111,-96.02009797137374
112,-102.05922992588074
113,-125.81506220187896
114,-126.05599250250226
115,-110.42722708365947
116,-150.3071242483145
117,-91.63333865095778
118,-108.13294253464109
119,-76.84553009205133
120,-77.48344911359433
121,-344.95462549605725
122,-141.8981543269452
123,-102.88592137796324
124,-121.50774657969845
125,-123.2120486400872
126,-286.9682905926487
127,-147.5420998006454
128,-150.54645344062038
129,-66.9392004527548
130,-87.97074636159353
131,-100.64673631019367
132,-202.1125513893556
133,-114.47882856660546
134,-254.76333773953044
135,-79.72288491746998
136,-0.5250589290821068
137,-117.598913790074
138,-142.36270740334692
139,-101.71914031453171
140,-150.82710413525422
141,-260.822746238621
142,-84.36810101689338
143,-39.57639033840814
144,-115.05045550008569
145,-138.61461079376517
146,-93.2791921387649
147,-119.50714625919588
148,-149.45339252700342
149,-149.55734427390587
150,-190.5646341785619
151,-74.90454511086381
152,-224.22180214586928
153,-59.62478592402991
154,-87.46566176362657
155,-162.06372233430326
156,-166.70205473862757
157,-222.64907797283928
158,-145.65857044682903
159,-291.0213268895243
160,-88.87432474908015
161,-77.1415736143272
162,-195.93244352327326
163,-156.85669940721374
164,-186.9374866438155
165,-116.16473964733697
166,-130.42688173268076
167,-126.54657198903072
168,-105.55002635953774
169,-135.76359929571328
170,-88.10605510341999
171,-186.18229058517355
172,-141.422736932083
173,-104.98377997320031
174,-129.95585867398847
175,-156.57309714050442
176,-410.44672635274367
177,-205.28647683083915
178,-97.74260546019978
179,-87.66948481598911
180,-117.95710595696337
181,-50.73302036216236
182,-171.34306153536915
183,-63.65783445680265
184,-58.05266663773867
185,-236.61735919958875
186,-424.261210905492
187,-93.95370086622052
188,-308.39128545293727
189,-49.059138840881424
190,-91.76636653892503
191,-434.37839438138144
192,-70.05712774409724
193,-82.33730767981729
194,-181.56391193696342
195,-193.30687788554735
196,-167.70285222928004
197,-128.59566451508343
198,-101.77740149654248
199,-112.68779000026362
200,-269.440016727325
201,-120.58867276596949
202,-146.3467096347001
203,-91.58694454295785
204,-175.24450674545838
205,-97.88978747159544
206,-82.5563591029678
207,-79.77142833936139
208,-57.76740928257235
209,-476.3581865387945
210,-86.65623550926553
211,-189.86755783183239
212,-190.11685010999838
213,-95.03940191890034
214,-173.6085087461567
215,-119.81865500438757
216,-101.11884821334243
217,-330.443288117227
218,-256.9797944784791
219,-89.27664779852583
220,-24.11693348525614
221,-106.94421015927972
222,-138.93955861715574
223,-400.74417066830097
224,-164.838654528556
225,-68.62429757239462
226,-149.82570674500062
227,-253.97058632586152
228,-120.63660546476319
229,-97.7015454356092
230,-169.8716197816282
231,-156.15876191197898
232,-95.73508632289519
233,-162.7013949903373
234,-49.164992485282305
235,-98.70353945817538
236,-188.7813410761815
237,-375.259193167066
238,-263.05278766778486
239,-222.91939173946986
240,-188.62933995370594
241,-110.05214693901436
242,-72.7250422853237
243,-142.28296839052567
244,-97.40716535329955
245,-78.38518432686705
246,-80.6444333118828
247,-161.22386883420023
248,-120.86522268184495
249,-204.8368694693429
250,-212.13041665960046
251,-199.8395708205718
252,-354.83410048111693
253,-275.6603994905181
254,-108.86939713082015
255,-153.83971882622095
256,-126.66236791554529
257,-93.45736775560106
258,-270.0356151257113
259,-157.77884414289804
260,-134.88930859001943
261,-205.30470262120724
262,-78.64790564458484
263,-277.7057300795276
264,-374.58964843129587
265,-144.15786379208612
266,-36.005355476879764
267,-118.79764022478795
268,-304.93094924662694
269,-398.10871106541094
270,-183.7085217575321
271,-277.99604500067903
272,-213.93227110276183
273,-256.5228214666442
274,-200.5921139242946
275,-273.67992269151785
276,-288.5212912634159
277,-397.4637022116298
278,-214.0619773491847
279,-316.69597205929483
280,-140.46361294760447
281,-149.8203416916051
282,-213.9301881882592
283,-293.6961246115663
284,-100.63262350964024
285,-136.35765940200224
286,-104.17927492532013
287,-171.82298114273783
288,-447.1157815014652
289,-133.18878722301793
290,-253.8680907803543
291,-346.01630425779973
292,-110.84788992916071
293,-275.879225828712
294,-145.6283273249549
