05-21 15:33:37: Training starting...
05-21 15:33:39: New best reward -181.6 (-100.0%) at episode 0, saving model...
05-21 15:33:39: New best reward -117.3 (-35.4%) at episode 2, saving model...
05-21 15:33:39: New best reward -111.1 (-5.3%) at episode 6, saving model...
05-21 15:33:40: New best reward -95.7 (-13.9%) at episode 11, saving model...
05-21 15:33:40: New best reward -78.9 (-17.6%) at episode 12, saving model...
05-21 15:33:40: New best reward -47.8 (-39.4%) at episode 14, saving model...
05-21 15:33:40: New best reward -5.9 (-87.7%) at episode 15, saving model...
05-21 15:33:41: New best reward -0.5 (-91.1%) at episode 136, saving model...
05-21 15:33:42: New best reward 7.9 (-1607.0%) at episode 303, saving model...
05-21 15:33:42: New best reward 35.1 (+343.8%) at episode 317, saving model...
05-21 15:44:58: New best reward 57.8 (+64.5%) at episode 1661, saving model...
05-21 15:45:04: New best reward 85.3 (+47.7%) at episode 1849, saving model...
05-21 15:45:07: New best reward 117.3 (+37.4%) at episode 2080, saving model...
05-21 15:45:09: New best reward 186.6 (+59.1%) at episode 2249, saving model...
05-21 15:45:14: New best reward 210.1 (+12.6%) at episode 2531, saving model...
05-21 15:45:17: New best reward 221.2 (+5.3%) at episode 2590, saving model...
05-21 15:45:26: New best reward 247.2 (+11.8%) at episode 2956, saving model...
