05-21 14:10:48: Training starting...
05-21 14:10:49: New best reward -140.2 (-100.0%) at episode 0, saving model...
05-21 14:10:49: New best reward -96.8 (-30.9%) at episode 1, saving model...
05-21 14:10:49: New best reward -44.1 (-54.5%) at episode 4, saving model...
05-21 14:10:49: New best reward -10.2 (-76.9%) at episode 44, saving model...
05-21 14:10:49: New best reward 29.7 (-391.3%) at episode 53, saving model...
05-21 14:10:50: New best reward 40.8 (+37.3%) at episode 133, saving model...
05-21 14:13:16: New best reward 42.7 (+4.7%) at episode 624, saving model...
05-21 14:13:16: New best reward 51.3 (+20.1%) at episode 633, saving model...
05-21 14:13:16: New best reward 55.9 (+8.9%) at episode 650, saving model...
05-21 14:14:32: New best reward 58.8 (+5.2%) at episode 1962, saving model...
05-21 14:14:32: New best reward 61.4 (+4.6%) at episode 1975, saving model...
05-21 14:14:37: New best reward 123.9 (+101.6%) at episode 2058, saving model...
05-21 14:14:40: New best reward 207.6 (+67.6%) at episode 2098, saving model...
05-21 14:14:55: New best reward 246.5 (+18.7%) at episode 2661, saving model...
