episode,reward
0,-79.69672165338713
1,-87.6619139504879
2,-327.03233341740815
3,-151.47069232953197
4,-160.2733462834904
5,-496.6174169763804
6,-111.11499692645913
7,-108.04436796739776
8,-409.4996464170069
9,-153.77511852625432
10,-47.207130428485726
11,-178.61292214557966
12,-263.86950684526323
13,-112.90331853216685
14,-89.65319361146067
15,-75.44073497812842
16,-217.6390377831096
17,-121.31233376410356
18,-333.87267189101044
19,-86.58174916064863
20,-85.94786580223582
21,-47.79680083679896
22,-294.897771335123
23,-91.41575648285121
24,-3.197050666884735
25,-145.68554672896914
26,-91.63692438849358
27,-276.1991800882309
28,-120.32248090976478
29,-298.49283121304035
30,-233.22118046649268
31,-478.1037558203239
32,-346.31798822882877
33,-78.44171938083772
34,-345.96427089664354
35,-71.97636864024506
36,-239.94858055736594
37,-124.25084998597785
38,-110.39738668332721
39,-112.07877647459502
40,-140.64682337916054
41,-112.50123816649568
42,-85.2801559123757
43,-370.1147649988142
44,-167.0091100670658
45,-161.40852437330147
46,-88.9291945666976
47,-247.1806688654614
48,-139.70202206140425
49,-239.7743527677188
50,-190.31548524121342
51,-52.91416865454179
52,-119.26953602440044
53,-268.0341094660555
54,-83.99477495858623
55,-23.297530236479986
56,-319.0842787418605
57,-106.98500660347953
58,-129.88783214295236
59,-114.9825316300388
60,-152.38491465435197
61,-100.2615922919317
62,-334.1428817662918
63,-70.39111287852455
64,-320.06140998486023
65,-117.81487947067633
66,-222.98544696675444
67,-236.0346807431418
68,-222.85529178622662
69,-320.74458376218246
70,-104.244809701324
71,-160.86084312124808
72,-14.918244338650524
73,-264.55545313245796
74,-257.7821307617806
75,-184.55707397897234
76,19.44083942462646
77,-130.69936887658142
78,-314.18327080184105
79,-112.90107805455489
80,-179.75566752424072
81,-297.9879154466404
82,-421.7279166965314
83,-393.90098229658065
84,-282.71408669444395
85,-310.49756515670333
86,-345.5777249412997
87,-149.42386296159407
88,-127.07596901221513
89,-305.9814767032067
90,-148.74338912182992
91,-98.45086821263162
92,-147.53928292650488
93,-268.0143893108163
94,-300.72148524930776
95,-160.5116201358292
96,-6.463526407982798
97,-123.13418241815657
98,-159.2746742426367
99,-82.18902697494198
100,-23.88899901776358
101,-116.24218518269983
102,-93.66081863483119
103,-289.66306845437373
104,-344.5443595597011
105,-233.5762803031739
106,-86.40117681913057
107,-139.40144388045832
108,-214.56886270304096
109,-274.83887228086064
110,-88.25308128126548
111,-64.16948741009978
112,-144.23342872715784
113,-87.60522756570651
114,-147.9635031031185
115,-113.653924789262
116,-299.1946031625033
117,-62.9657984879432
118,-431.422667722095
119,-374.9615209887001
120,-375.4063612926281
121,-169.23586540401746
122,-370.3451769548947
123,-50.728508063300325
124,-259.78075822992804
125,-448.62868990091494
126,-347.12255729435606
127,-344.08106324805954
128,-97.6095272695181
129,-68.00503554721334
130,-66.84093637841102
131,-18.98594171111641
132,-96.56149294074646
133,33.15373838522336
134,-109.7877351564731
135,-230.87725331729305
136,-77.60455851115978
137,-146.89441519810208
138,-295.4216523464635
139,-245.04804539764868
140,-203.60176786819235
141,-83.85864343187808
142,-44.45166732657479
143,-126.54573947187332
144,-75.17563240834968
145,-339.37952308093566
146,-397.0241305958159
147,-55.75473753703138
148,-88.11724488943841
149,-121.69843570473904
150,-494.15491037063305
151,-403.53675228532126
152,-344.9512751243855
153,-216.8749621272097
154,-72.38826220625566
155,-145.37617569195749
156,-307.4597518865579
157,-99.40945261007074
158,-194.30226667235974
159,-368.45517844349143
160,-359.3847884529999
161,-147.28242533782395
162,-108.1113844241215
163,-165.21141891479311
164,-132.65781781755538
165,-109.74993492760865
166,-107.26735904816788
167,-248.09902571809292
168,-112.09099008662544
169,-226.6489363508311
170,-112.15975439199107
171,-50.949677823859886
172,-128.5415022652708
173,-199.8703509093031
174,-86.2906753771158
175,-107.50418821389914
176,-84.06074152199432
177,-271.916504666607
178,-67.34357044602329
179,-345.15150321156955
180,-262.21426768190486
181,-173.78669466553018
182,-304.2915984571918
183,-326.85275475410197
184,-86.4466926189364
185,-168.75965423448534
186,-253.28871212192567
187,-174.0898963620797
188,-240.88105769439122
189,-145.69566441046487
190,-194.2783305170146
191,-78.86330126623267
192,-264.7286225368449
193,-129.87740297075243
194,-333.19478644498963
195,-347.0421434795215
196,-99.79258564172176
197,-177.3554983995598
198,-127.4630674326904
199,-67.7140056442933
200,-341.49071719013625
201,-119.00069064692687
202,-180.22492566102125
203,-109.15339500594197
204,-413.2524559659715
205,-168.9871625493628
206,-179.7435657628233
207,-236.35943401349965
208,-228.64004721088594
209,-72.83525871661115
210,-239.72212105436515
211,-349.95643516679206
212,-185.76703699008925
213,-105.41436588046206
214,-142.09146277955836
215,-30.941845704635554
216,-179.68140683554918
217,-278.1342195731195
218,-147.4866723734942
219,-8.892934172381104
220,-72.74898271906574
221,-292.7335339006342
222,-120.33446001001398
223,-109.80705590040547
224,-136.69291015173502
225,-92.1523125831619
226,-299.4639909701593
227,-133.8658091680635
228,-260.28358848179664
229,-131.21921974324385
230,-117.14427881899331
231,-131.1686173524714
232,-244.02202154119706
233,-127.56748589583006
234,-89.00707701623462
235,-126.62376730026871
236,-160.70915224955343
237,-241.22816060662282
238,-420.15326142979455
239,-88.1441210083343
240,-282.5250342370308
241,-273.49154160546783
242,-52.81879588543521
243,-134.49855275865139
244,-213.17652049776146
245,-275.6915378762575
246,-97.03891479005206
247,-92.13209956988733
248,-209.76491712114762
249,-323.3809383865355
250,-98.4195678005839
251,-377.2480334552446
252,-189.45171493809912
253,-244.6876745169264
254,-83.65935653227669
255,-96.66223831429815
256,-293.82372773284516
257,-80.07799692859354
258,-237.26714345374984
259,-113.30807772766228
260,-98.27070701733074
261,-384.86483410492696
262,-198.4677552140451
263,-156.2871741009949
264,-86.03997526914274
265,-175.9345187269621
266,-351.96336691463875
267,-93.50301288501221
268,-361.90201053999937
269,-224.4771121592064
270,-334.297914417837
271,-341.0847845527036
272,-296.98241525804247
273,-160.99301246011822
274,-325.4096255803347
275,-91.80741954108869
276,-59.3140557666806
277,-194.93182823304704
278,-172.78753899902264
279,-433.69290435843385
280,-105.84609121082268
281,-267.5213609357825
282,-301.3332545034086
283,-243.14755829007362
284,-111.50182717888197
285,-145.63848738530731
286,-311.96916858299505
287,-57.70429434986324
288,-184.15390713999648
289,-367.8804275411406
290,-154.74344774299425
291,-500.6383361595108
292,-65.50141978580962
293,-173.52749507789713
294,-301.3261188401541
295,-122.99854363447518
296,-270.4657791751614
297,-410.8478746024334
298,-232.25171466258132
299,-151.0780831676483
300,-106.87266203372789
301,-87.73327710754373
302,-410.7851420838674
303,-170.268587207545
304,-265.5782925473745
305,-108.09782140523119
306,-333.05470291306824
307,-252.9820834226517
308,-49.27269943648913
309,-352.5895686346885
310,-140.51701604413583
311,-228.8239157392705
312,-148.62158108935995
313,-154.2508151397694
314,-44.19931153823935
315,-394.6350152391518
316,-95.2890144251446
317,-198.85764977754138
318,-152.18099314737623
319,-362.7836975699307
320,-134.1024264378872
321,-277.8876930444692
322,-394.4030476416258
323,-254.45605554356692
324,-341.7234815133276
325,-113.36377831745648
326,-361.69518597986337
327,-199.7894686810448
328,-63.798319002552205
329,-65.55186217342535
330,-315.44301246287
331,-272.7623662357503
332,-119.5058646345729
333,-92.12956986206456
334,-226.75598524057474
335,-169.90997250642903
336,-183.6575844406279
337,-114.0029416600714
338,-88.52262650731286
339,-422.91118569591384
340,-342.63878736537015
341,-160.28236701143146
342,-167.56019605200476
343,-134.5489016795065
344,-169.7970148501425
345,-230.31292564390833
346,-265.24425965956306
347,-151.5482970389096
348,-28.312210536463525
349,-11.674901331919145
350,-240.38916529083122
351,-91.82379996830043
352,-210.27535897589445
353,-172.3839166838498
354,-200.60840428386547
355,-66.56503577280165
356,-85.01425511037422
357,-286.52819548727916
358,-92.9003789208613
359,-251.151124818042
360,-229.54011261317268
361,-53.11980507232493
362,-91.71391730679602
363,-110.62199326942363
364,-146.2796158838775
365,-39.13850597898367
366,-211.78527325494298
367,-113.78568547097154
368,-54.417800678418146
369,-103.44431997632577
370,-188.47533855499762
371,-143.4834473375572
372,-237.52903915075663
373,-113.1920382799558
374,-70.29416596718495
375,-16.00803662685898
376,-103.95178952833038
377,-77.38225050334049
378,-191.84256175117577
379,-7.628309473799902
380,-86.21522246706742
381,-95.80412216802269
382,-62.13520073409707
383,-298.0808836409948
384,-127.10098276765413
385,-70.26503502132324
386,-83.8433342500717
387,-250.97691944684743
388,-285.30214999299534
389,-151.12605391760735
390,-93.83244904829513
391,-112.39218585355138
392,-536.4507101347378
393,-174.8735170209754
394,-166.46008270595496
395,-311.3562449061121
396,-119.53213074939329
397,-348.0628436168737
398,-86.26116344155281
399,-51.78614036989927
400,-99.76729034928698
401,-290.9303010813161
402,-106.8618850087766
403,-113.66408619685514
404,-102.62666998400786
405,-113.67357080461215
406,-137.3737446030787
407,-231.36910801090275
408,-238.45633921972643
409,-29.61286726987933
410,-354.91998259815176
411,-148.67789845829265
412,-148.84835076631416
413,-69.4955932345224
414,-279.90606261305675
415,-216.17425336216073
416,-362.6524869108941
417,-229.0186050278695
418,-157.05417749705106
419,-411.7584843763756
420,-156.08337934363163
421,-86.57105353882324
422,-209.05924887367544
423,-253.28290163931916
424,-177.9233835972538
425,-125.27376865702396
426,-230.7157262637577
