05-21 14:10:20: Training starting...
05-21 14:10:21: New best reward -79.7 (-100.0%) at episode 0, saving model...
05-21 14:10:21: New best reward -47.2 (-40.8%) at episode 10, saving model...
05-21 14:10:21: New best reward -3.2 (-93.2%) at episode 24, saving model...
05-21 14:10:21: New best reward 19.4 (-708.1%) at episode 76, saving model...
05-21 14:10:22: New best reward 33.2 (+70.5%) at episode 133, saving model...
05-21 14:10:26: New best reward 39.2 (+18.3%) at episode 825, saving model...
05-21 14:11:30: New best reward 56.5 (+44.1%) at episode 1385, saving model...
05-21 14:17:53: New best reward 204.3 (+261.5%) at episode 2181, saving model...
05-21 14:18:11: New best reward 208.2 (+1.9%) at episode 2568, saving model...
05-21 14:18:13: New best reward 222.3 (+6.8%) at episode 2615, saving model...
05-21 14:18:14: New best reward 236.0 (+6.2%) at episode 2674, saving model...
05-21 14:18:16: New best reward 239.2 (+1.4%) at episode 2751, saving model...
05-21 14:18:17: New best reward 272.2 (+13.8%) at episode 2826, saving model...
