episode,reward
0,-187.1490646619406
1,-122.76288903364919
2,-309.93059857762074
3,-189.7161241092361
4,-94.50248317784049
5,-342.53032414144457
6,-155.40555886718164
7,-183.09732505122804
8,-109.2082435591913
9,-95.59685398636725
10,-115.1835673036555
11,-114.31959313947165
12,-385.4209026065256
13,-223.74242583905334
14,-121.83945388605024
15,-200.58338578989645
16,-329.4333935557977
17,-194.53960423180135
18,-80.62605011912802
19,-91.9221540010781
20,-83.60466442038815
21,-138.02421942327481
22,-123.13931446342109
23,-269.6404921785437
24,-136.16639348166245
25,-246.00757023467182
26,-94.12901212334505
27,-104.3279663861827
28,-329.4547261841754
29,-396.702514151758
30,-214.4870689455381
31,-292.02122646427597
32,-231.8623724679712
33,-235.32175173325044
34,-155.50249272105881
35,-168.76909317152072
36,-85.12257212385211
37,-287.5322132154794
38,-109.96432358955718
39,-85.22855002362796
40,-51.97477001955467
41,-59.24288837957005
42,-443.29505844756665
43,-202.8551027324379
44,26.480951684973434
45,-137.37006257333826
46,-122.87248264566423
47,-107.612281513901
48,-123.02040227045146
49,-134.43706229625246
50,-141.48026746758865
51,-444.0910796405159
52,-163.41418905280233
53,-169.11191067079466
54,-170.38877904202806
55,-102.86535524635961
56,-401.91858671089216
57,-201.69187860327344
58,-206.92721794911014
59,-126.73206671308981
60,-262.2809821757149
61,-103.25255138332707
62,-275.1443959907548
63,-27.375222868145386
64,-458.97698180759795
65,-50.33796104879593
66,-34.827556882839644
67,-102.15384898809506
68,-51.935906531261644
69,-87.51571076875054
70,-41.468986763098016
71,-123.54552343200386
72,-228.45925574471417
73,-77.29113487545658
74,-98.33851188299103
75,-67.27549537068509
76,-108.21923900522319
77,-152.69308099891092
78,-131.9665508093415
79,-100.94748637114358
80,-407.7989391877618
81,-287.70818676098145
82,-147.72653146978135
83,-100.14840184380348
84,-6.657211650685923
85,-199.9044806977025
86,-126.68880252503898
87,-164.41097743745212
88,-104.09875104590533
89,-264.5366033428676
90,-275.27780116540237
91,-200.57312764439382
92,-90.23782600492065
93,-58.35007616286342
94,-105.99107940982083
95,-94.3758687052795
96,-106.08401763919636
97,-108.56769006568751
98,-98.8972044258541
99,-84.1269681380188
100,-218.86602516534663
101,-107.76175191019968
102,-376.8072704359324
