05-21 14:10:20: Training starting...
05-21 14:10:21: New best reward -187.1 (-100.0%) at episode 0, saving model...
05-21 14:10:21: New best reward -122.8 (-34.4%) at episode 1, saving model...
05-21 14:10:21: New best reward -94.5 (-23.0%) at episode 4, saving model...
05-21 14:10:21: New best reward -80.6 (-14.7%) at episode 18, saving model...
05-21 14:10:21: New best reward -52.0 (-35.5%) at episode 40, saving model...
05-21 14:10:21: New best reward 26.5 (-150.9%) at episode 44, saving model...
05-21 14:10:22: New best reward 42.9 (+62.0%) at episode 242, saving model...
05-21 14:13:45: New best reward 43.9 (+2.2%) at episode 1289, saving model...
05-21 14:13:45: New best reward 48.8 (+11.4%) at episode 1348, saving model...
05-21 14:14:11: New best reward 65.2 (+33.5%) at episode 1466, saving model...
05-21 14:28:30: New best reward 66.4 (+1.8%) at episode 1694, saving model...
05-21 14:28:36: New best reward 149.2 (+124.8%) at episode 2014, saving model...
05-21 14:28:39: New best reward 158.2 (+6.0%) at episode 2208, saving model...
05-21 14:28:55: New best reward 197.1 (+24.6%) at episode 2551, saving model...
05-21 14:29:01: New best reward 210.1 (+6.6%) at episode 2695, saving model...
05-21 14:29:29: New best reward 211.0 (+0.4%) at episode 2838, saving model...
