episode,reward
0,-270.8720291700929
1,-355.220919393258
2,-113.56602035408997
3,-170.49776358496376
4,-344.5960903761327
5,-194.49046308706596
6,-49.4649766241133
7,-284.38032008282113
8,-162.7806340108886
9,4.356884376699298
10,-115.8962478943434
11,-222.16893993914144
12,-206.19426493161302
13,-120.09967808360916
14,-111.45672772258276
15,-232.186635731793
16,-96.6554766469298
17,-301.29727298753505
18,-180.8393522369256
19,-58.23586275684396
20,-208.72109587245748
21,-82.84592196021096
22,-342.0533898676281
23,-331.12314929569834
24,-170.17796781060264
25,-170.74606892192313
26,-107.07956700591374
27,-80.77311681159419
28,-84.53307077899782
29,-109.25982291117452
30,-428.20773879226647
31,48.09010129613023
32,-82.53996792611223
33,-192.61395840508703
34,-130.73223157479424
35,-329.5625011900938
36,-118.52846381872747
37,-360.4793194827211
38,-78.20815372424053
39,-81.87767633731019
40,-138.4908234687392
41,-52.995565783377344
42,-116.81252010459053
43,-106.98803760514546
44,-80.12345211329823
45,-176.12476468347154
46,-380.4641627521984
47,-394.7253326755978
48,-107.59176705766825
49,-68.97872431707982
50,-102.06680162760294
51,-29.845807154409997
52,-227.77971145444087
53,-109.48533697931741
54,-127.5717485483247
55,-160.71474134329873
56,-98.55914905852676
57,-240.9623430062049
58,-71.5823290146115
59,-294.9755524746495
60,-77.47009230618904
61,-296.64715859431163
62,-52.882540860933815
63,-73.77009151835304
64,-188.05625490294221
65,-94.5727673884695
66,-231.5699000209937
67,-235.82830979595803
68,-88.79108765586847
69,-137.90754590494043
70,-352.49665946936807
71,-362.9078392352463
72,-67.29269886416736
73,-406.88420604022457
74,-239.14703566609978
75,-104.36186085125058
76,-146.08240167812883
77,-303.3503454949482
78,21.941765265511407
79,-329.63617660058276
80,-132.19696984029645
81,-338.4859274479828
82,-236.20192049360955
83,-135.9980037747398
84,-318.4218142397564
85,-95.91788316163309
86,-314.63459481746463
87,-388.89640982992205
88,-229.60478388405676
89,-378.9297690379455
90,30.64935103373989
91,-112.12949128778718
92,-66.46408047656885
93,-84.3596618148743
94,-146.65423769273156
95,-116.69547203464731
96,-167.34322294949436
97,-74.67895381944479
98,-368.25415134733254
99,-241.48419703957782
100,-410.480730421038
101,-72.55190322401144
102,-301.9568157116443
103,-379.7430710966366
104,-136.65607504808582
105,-101.4650028859073
106,-319.2269968725395
107,-89.38638013802444
108,-333.6148971972865
109,-75.78811324457278
110,-78.00746398981939
111,-226.4084751558981
112,-115.21665819342356
113,-56.29603999510708
114,-409.46832314541075
115,-84.29307549930355
116,-76.20377085721363
117,-118.64067969190148
118,-246.5236169838427
119,-102.44531083640547
120,-152.4684146705963
121,-113.85664608567662
122,-457.84490226876903
123,-116.82640901533235
124,-122.83806231926171
125,-122.77918534774733
126,-99.76637566770708
127,-508.4112845273331
128,-400.6889306248257
129,-267.0632013496578
130,-155.0186735795974
131,-262.4882724935034
132,-224.4001295383438
133,-456.76616956224984
134,-187.741950672566
135,-335.33723722985224
136,-161.30004642340813
137,-73.92714582856871
138,-513.4759759419618
139,-417.7230118720833
140,-124.86939242967838
141,-348.33845142172015
142,-91.91311197748615
143,-178.23809430080922
144,-183.18767792443327
145,-318.8174028554041
146,-342.4168853529702
147,-144.92341887090564
148,-224.51710582178345
149,-402.7767946113166
150,-22.716804837896987
151,-284.9222283806529
